fecha,precio_btc_usd,usd_invertidos,btc_comprados,btc_acumulado,valor_actual_usd,comision_usd
2026-02-14,69784,2.0,2.8573885131262185e-05,2.8573885131262185e-05,1.994,0.006
2026-02-15,70326,2.0,2.8353667207007367e-05,5.692755233826955e-05,4.003487045741144,0.006
2026-02-16,69462,2.0,2.870634303648038e-05,8.563389537474993e-05,5.94830164052088,0.006
2026-02-17,68036,2.0,2.930801340466812e-05,0.0001149419087794,7.820187705716486,0.006
2026-02-18,67413,2.0,2.95788646106834e-05,0.0001445207733901,9.74257889654691,0.006
2026-02-19,66588,2.0,2.9945335495885144e-05,0.0001744661088859,11.617349258500075,0.006
2026-02-20,67394,2.0,2.9587203608629848e-05,0.0002040533124946,13.75196894226218,0.006
2026-02-21,67963,2.0,2.933949354795992e-05,0.0002333928060425,15.862075277071616,0.006
2026-02-22,68044,2.0,2.930456763270825e-05,0.0002626973736752,17.874980094361067,0.006
2026-02-23,66272,2.0,3.008812168034766e-05,0.0002927854953556,19.40348034820846,0.006
2026-02-24,63110,2.0,3.159562668356837e-05,0.0003243811220392,20.47169261189396,0.006
2026-02-25,65784,2.0,3.0311321901982244e-05,0.0003546924439411,23.33308773222677,0.006
2026-02-26,68260,2.0,2.921183709346616e-05,0.0003839042810346,26.205306223425143,0.006
2026-02-27,66009,2.0,3.020800193912952e-05,0.0004141122829737,27.335137686816147,0.006
2026-02-28,63992,2.0,3.116014501812727e-05,0.0004452724279919,28.49387321205804,0.006
2026-03-01,66465,2.0,3.0000752275633792e-05,0.0004752731802675,31.58903192648202,0.006
2026-03-02,66062,2.0,3.018376676455451e-05,0.000505456947032,33.3914968348342,0.006
2026-03-03,67419,2.0,2.9576232219404024e-05,0.0005350331792514,36.07140191195675,0.006
2026-03-04,70746,2.0,2.8185339100443843e-05,0.0005632185183519,39.84545729932648,0.006
2026-03-05,72760,2.0,2.740516767454645e-05,0.0005906236860264,42.97377939528729,0.006
2026-03-06,69937,2.0,2.85113745227848e-05,0.0006191350605492,43.30044872963451,0.006
2026-03-07,68028,2.0,2.931145998706415e-05,0.0006484465205363,44.11251989904595,0.006
2026-03-08,67318,2.0,2.962060667280668e-05,0.0006780671272091,45.64612286946264,0.006
2026-03-09,68244,2.0,2.921868589180001e-05,0.0007072858131009,48.268013029257816,0.006
2026-03-10,70421,2.0,2.831541727609662e-05,0.0007356012303769,51.80177424437848,0.006
2026-03-11,69314,2.0,2.876763712958421e-05,0.0007643688675064,52.98146368234444,0.006
2026-03-12,70311,2.0,2.8359716118388304e-05,0.0007927285836247,55.73753944324249,0.006
2026-03-13,72405,2.0,2.753953456253021e-05,0.0008202681181872,59.3915130973464,0.006
2026-03-14,70725,2.0,2.819370802403676e-05,0.0008484618262112,60.00746265878972,0.006
2026-03-15,71709,2.0,2.780683038391276e-05,0.0008762686565951,62.83634909577895,0.006
2026-03-16,73767,2.0,2.7031057247820843e-05,0.0009032997138429,66.63370999105074,0.006
2026-03-17,73783,2.0,2.7025195505739805e-05,0.0009303249093486,68.64216278647069,0.006
2026-03-18,72375,2.0,2.7550949913644213e-05,0.0009578758592622,69.32626531410493,0.006
2026-03-19,69616,2.0,2.8642840726269822e-05,0.0009865186999884,68.67748581839732,0.006
2026-03-20,70363,2.0,2.833875758566292e-05,0.001014857457574,71.40841528728379,0.006
2026-03-21,70762,2.0,2.8178966111754897e-05,0.0010430364236857,73.80734341285138,0.006
2026-03-22,68654,2.0,2.904419261805576e-05,0.0010720806163037,73.60262263171805,0.006
2026-03-23,70565,2.0,2.825763480478991e-05,0.0011003382511084,77.64536868947059,0.006
2026-03-24,70875,2.0,2.813403880070547e-05,0.0011284722899091,79.98047354730785,0.006
2026-03-25,71398,2.0,2.7927953163954173e-05,0.001156400243073,82.5646645549299,0.006
2026-03-26,69377,2.0,2.8741513758161927e-05,0.0011851417568311,82.22157966367553,0.006
2026-03-27,66564,2.0,2.9956132443963704e-05,0.001215097889275,80.88177590170534,0.006
2026-03-28,66341,2.0,3.005682760283987e-05,0.0012451547168778,82.60480907239278,0.006
2026-03-29,66747,2.0,2.9874001827797505e-05,0.0012750287187055,85.10434188744252,0.006
2026-03-30,67820,2.0,2.940135653199646e-05,0.0013044300752374,88.46644770260701,0.006
2026-03-31,66666,2.0,2.991029910299103e-05,0.0013343403743403,88.95513539577651,0.006
2026-04-01,68372,2.0,2.91639852571228e-05,0.0013635043595974,93.225520074395,0.006
2026-04-02,66142,2.0,3.0147258927761483e-05,0.0013936516185251,92.17890535249124,0.006
2026-04-03,66847,2.0,2.982931171181953e-05,0.0014234809302369,95.15542974354734,0.006
2026-04-04,67108,2.0,2.971329796745545e-05,0.0014531942282043,97.52095826633789,0.006
2026-04-05,66742,2.0,2.9876239848970664e-05,0.0014830704680532,98.98308917881138,0.006
2026-04-06,69508,2.0,2.868734534154342e-05,0.0015117578133947,105.07926209344184,0.006
2026-04-07,68423,2.0,2.9142247489879136e-05,0.0015409000608845,105.43300486590556,0.006
2026-04-08,72089,2.0,2.766025329800663e-05,0.0015685603141825,113.07594448910272,0.006
2026-04-09,71282,2.0,2.797340141971325e-05,0.0015965337156022,113.80411631555695,0.006
2026-04-10,72326,2.0,2.756961535270857e-05,0.0016241033309549,117.4648975146447,0.006
2026-04-11,72922,2.0,2.7344285675104907e-05,0.00165144761663,120.42686309989324,0.006
2026-04-12,71449,2.0,2.7908018306764265e-05,0.0016793556349367,119.98828076059688,0.006
2026-04-13,71126,2.0,2.803475522312516e-05,0.0017073903901598,121.43984889050772,0.006
